Category,Title,Link to source,Knowledge level,Time needed ,Language,Keywords,Information,Owner,License (except otherwise noted),License version,License link,Metadata,Added to this collection
webpage,license chooser helper for CC,https://chooser-beta.creativecommons.org/,any level,"few hours, self-paced",EN,licensing,use the helper to license data and documents,CreativeCommons,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"course, video",EOSC CZ courses ,https://www.youtube.com/@EOSC.CzechRepublic ,beginner,"few days, self-paced",CZ,"RDM, DMP, licensing, other...","OpenScience, FAIR, data management, ELN",EOSC CZ,no known license,,,,31.10.2024
"webpage, course",EOSC-Synergy: Data Steward Training,https://moodle.learn.eosc-synergy.eu/course/view.php?id=132 ,beginner,"few weeks, self-paced",EN,"RDM, DMP, GAČR, licensing, other..., DataSteward Training, FAIR","The aim of this course is to support the development of RDM skills among the staff of higher education institutions and other research organizations. 
-------------------------------Cílem tohoto kurzu je podpořit rozvoj dovedností v oblasti RDM u pracovníků vysokoškolských institucí a dalších výzkumných organizací. ","EOSC CZ, FAIRsFAIR",CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"course, webpage, video",Data Stewardship – Module 1: MOOC,https://courses.docenhance.eu/course/view.php?id=2,beginner,"few weeks, self-paced",EN,"DataSteward Training, FAIR","This theoretical part of the ""Data Stewardship"" course for PhD students provides an introduction to RDM. ------------------------
Tato teoretická část kurzu „Data Stewardship“ pro doktorandy poskytuje úvod do RDM. ",DocEnhance,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"webpage, article, document, video",EOSC CZ - training and conferences archive,https://www.eosc.cz/en/training,any level,"few months, self-paced","CZ, EN","RDM, licensing, GAČR, Horizon , DMP, other..., FAIR, DataSteward Training","The EOSC CZ training center organizes educational courses in the Czech Republic and offers an archive of materials from past events (focused on FAIR data, open science, legal aspects of RDM, licensing, metadata, etc.)                  ----------------------------- Školicí centrum EOSC CZ pořádá vzdělávací kurzy v ČR a nabízí archiv materiálů z proběhlých akcí (zaměřených na FAIR data, otevřenou vědu, právní aspekty RDM, licencování, metadata, apod.).","EOSC CZ, Masaryk University",copyrighted,,,,31.10.2024
practical guides,ELIXIR: Research Data Management Kit.,https://rdmkit.elixir-europe.org/,"beginner, intermediate",self-paced,EN,"DataSteward Training, RDM, Horizon, FAIR","An online guide for scientists in the field of natural sciences based on the data lifecycle model, which includes RDM guidelines and best practices, as well as links to various RDM tools. ------------------------------ Online příručka pro vědce z oblasti přírodních věd založená na modelu životního cyklu dat, která obsahuje návody a osvědčené postupy RDM a také odkazy na různé RDM nástroje. 
",ELIXIR,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
meeting,RDMkit Club monthly meeting,https://rdmkit.elixir-europe.org/rdmkit_club,intermediate,few months,EN,RDM,"Contributions from members of ELIXIR and others about the RDMkit, freely open for registration -----------------------------  Příspěvky členů ELIXIR a dalších o RDMkitu, volně přístupné k registraci ",ELIXIR,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
practical guides,Consortium of European Social Science Data Archives (CESSDA): Data Management Expert Guide.,https://www.cessda.eu/,"intermediate, advanced",self-paced,EN,"RDM, DataSteward Training, FAIR, DMP","An online guide for social scientists. It can also be downloaded as a pdf document (CESSDA Data Management Expert Guide, CESSDA, 2020)  ----------------------------- Online příručka pro vědce z oblasti sociálních věd. Lze stáhnout také jako dokument ve formátu pdf (CESSDA Data Management Expert Guide, CESSDA, 2020)",,several licenses,,,,31.10.2024
"practical guides, document","UK Data Archive (University of Essex, 2011): Managing and Sharing Data: Best Practice for Researchers.",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://dam.ukdataservice.ac.uk/media/622417/managingsharing.pdf  ------------------ ISBN 1-904059-78-3,any level,self-paced,EN,"Data, DataSteward Training, FAIR, RDM","A handbook describing the main aspects of RDM, such as data sharing, planning, documentation, formatting, storage, and ethical and legal issues.
-------------------------------Příručka popisující hlavní aspekty RDM, jako je sdílení dat, plánování, dokumentace, formátování, ukládání a etické a právní otázky.",University of Essex,CC BY-NC-SA,3.0,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,,31.10.2024
"practical guides, document","Fuchs, S.; Kuusniemi, M. E. (2018): Making a Research Project Understandable – Guide for Data Documentation",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://web.unican.es/buc/Documents/Formacion/Data_Documentation_guide_HelsinkiUnivLibrary.pdf ------------------------- DOI: 10.5281/zenodo.1684941,beginner,"few days, self-paced",EN,"DataSteward Training, Data, FAIR, RDM","A quick guide for researchers on how to document research data. ------------------------------ Stručná příručka pro vědce o tom, jak dokumentovat výzkumná data. ",,CC BY,-,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
